,Description,Measure,Vitamin B-6 (mg) Per Measure,Riboflavin(mg)Per Measure,Vitamin B-12 (µg) Per Measure,Vitamin D2 (ergocalciferol) (µg) Per Measure,Vitamin D (IU) Per Measure,Pantothenic Acid(mg)Per Measure,"Vitamin C, Total Ascorbic Acid (mg) Per Measure",Vitamin K (phylloquinone) (µg) Per Measure,Vitamin E (alpha-tocopherol) (mg) Per Measure,"Folate, total(µg)Per Measure","Choline, total(mg)Per Measure",Niacin(mg)Per 100 g
166,"Plantains, yellow, baked",1.0 cups,0.292,,,,,,,,,,,
167,"Squash, winter, acorn, cooked, boiled, mashed, without salt","1.0 cups, mashed",0.287,,,,,,,,,,,
168,"Squash, winter, acorn, cooked, boiled, mashed, with salt","1.0 cups, mashed",0.287,,,,,,,,,,,
169,"Candies, confectioner's coating, peanut butter",1.0 cups chips,0.286,,,,,,,,,,,
170,"Pork, cured, ham and water product, slice, boneless, separable lean and fat, heated, pan-broil",3.0 oz (3 oz),0.285,,,,,,,,,,,
171,"Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt","1.0 cups, shredded",0.282,,,,,,,,,,,
172,"Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt","1.0 cups, shredded",0.282,,,,,,,,,,,
173,"Turkey, all classes, leg, meat and skin, cooked, roasted",3.0 oz,0.281,,,,,,,,,,,
174,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,0.274,,,,,,,,,,,
175,"Chicken, broilers or fryers, meat and skin and giblets and neck, cooked, fried, batter",3.0 oz,0.272,,,,,,,,,,,
176,"Fast foods, croissant, with egg, cheese, and sausage",1.0 sandwich,0.272,,,,,,,,,,,
177,"Fish, yellowtail, mixed species, cooked, dry heat",0.5 fillet,0.27,,,,,,,,,,,
178,"Tomatoes, red, ripe, canned, packed in tomato juice",1.0 cups,0.266,,,,,,,,,,,
179,"Asparagus, canned, drained solids",1.0 cups,0.266,,,,,,,,,,,
180,"Chicken, broilers or fryers, drumstick, meat and skin, cooked, stewed","1.0 cups, chopped or diced",0.266,,,,,,,,,,,
