,Description,Measure,Vitamin B-6 (mg) Per Measure,Riboflavin(mg)Per Measure,Vitamin B-12 (µg) Per Measure,Vitamin D2 (ergocalciferol) (µg) Per Measure,Vitamin D (IU) Per Measure,Pantothenic Acid(mg)Per Measure,"Vitamin C, Total Ascorbic Acid (mg) Per Measure",Vitamin K (phylloquinone) (µg) Per Measure,Vitamin E (alpha-tocopherol) (mg) Per Measure,"Folate, total(µg)Per Measure","Choline, total(mg)Per Measure",Niacin(mg)Per 100 g
1141,"Beef, loin, bottom sirloin butt, tri-tip roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",3.0 oz,,0.116,,,,,,,,,,
1142,"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, all grades, raw",4.0 oz,,0.115,,,,,,,,,,
1143,"Bread, stuffing, dry mix",1.0 oz,,0.115,,,,,,,,,,
1144,"Fish, bluefish, cooked, dry heat",1.0 fillet,,0.113,,,,,,,,,,
1145,"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and butter added",1.0 cups,,0.113,,,,,,,,,,
1146,"Beans, pinto, immature seeds, frozen, unprepared",0.33 package (10 oz),,0.113,,,,,,,,,,
1147,"Bread, protein (includes gluten)",1.0 oz,,0.112,,,,,,,,,,
1148,"Bratwurst, pork, beef and turkey, lite, smoked",1.0 serving 2.33 oz,,0.11,,,,,,,,,,
1149,"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, without salt",1.0 cups,,0.109,,,,,,,,,,
1150,"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",3.0 oz,,0.109,,,,,,,,,,
1151,"Asparagus, canned, regular pack, solids and liquids",0.5 cups,,0.109,,,,,,,,,,
1152,"Cheese, blue",1.0 oz,,0.108,,,,,,,,,,
1153,"Lamb, New Zealand, imported, frozen, leg, whole (shank and sirloin), separable lean and fat, trimmed to 1/8"" fat, raw",1.0 oz,,0.108,,,,,,,,,,
1154,"Snacks, corn-based, extruded, puffs or twists, cheese-flavor",1.0 oz crunchy (about 21 pieces),,0.108,,,,,,,,,,
1155,"Lima beans, immature seeds, frozen, fordhook, unprepared",1.0 cups,,0.107,,,,,,,,,,
1156,"Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt","1.0 cups, shredded",,0.107,,,,,,,,,,
1157,"Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt","1.0 cups, shredded",,0.107,,,,,,,,,,
1158,"Candies, dark chocolate coated coffee beans",1.0 serving 28 pieces,,0.106,,,,,,,,,,
1159,"Turnip greens and turnips, frozen, cooked, boiled, drained, with salt",1.0 cups,,0.106,,,,,,,,,,
1160,"Bamboo shoots, raw","1.0 cups (1/2"" slices)",,0.106,,,,,,,,,,
1161,"Celery, cooked, boiled, drained, without salt","1.0 cups, diced",,0.105,,,,,,,,,,
1162,"Sausage, Italian, sweet, links",1.0 link 3 oz,,0.105,,,,,,,,,,
1163,"Bread, french or vienna, toasted (includes sourdough)",1.0 oz,,0.105,,,,,,,,,,
1164,"Collards, frozen, chopped, unprepared",0.33 package (10 oz),,0.104,,,,,,,,,,
1165,"Fish, tuna, skipjack, fresh, cooked, dry heat",3.0 oz,,0.104,,,,,,,,,,
1166,"Turnip greens, cooked, boiled, drained, without salt","1.0 cups, chopped",,0.104,,,,,,,,,,
1167,"Beans, black turtle, mature seeds, cooked, boiled, without salt",1.0 cups,,0.104,,,,,,,,,,
1168,"Cheese, American, nonfat or fat free",1.0 serving,,0.104,,,,,,,,,,
1169,"Purslane, cooked, boiled, drained, without salt",1.0 cups,,0.103,,,,,,,,,,
1170,"Yardlong bean, cooked, boiled, drained, without salt",1.0 cups slices,,0.103,,,,,,,,,,
1171,"Corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",1.0 cups,,0.102,,,,,,,,,,
1172,"Candies, MARS SNACKFOOD US, M & M's Milk Chocolate Candies",1.0 package (1.69 oz),,0.102,,,,,,,,,,
1173,"Lamb, New Zealand, imported, frozen, foreshank, separable lean and fat, trimmed to 1/8"" fat, raw",1.0 oz,,0.102,,,,,,,,,,
1174,"Cherries, sweet, canned, water pack, solids and liquids","1.0 cups, pitted",,0.102,,,,,,,,,,
1175,"Cake, angelfood, dry mix, prepared","1.0 piece (1/12 of 10"" dia)",,0.101,,,,,,,,,,
1176,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",3.0 oz,,0.1,,,,,,,,,,
1177,"Luncheon meat, pork, ham, and chicken, minced, canned, reduced sodium, added ascorbic acid, includes SPAM, 25% less sodium",2.0 oz 1 NLEA serving,,0.1,,,,,,,,,,
1178,"Soup, black bean, canned, condensed",1.0 cups (8 fl oz),,0.1,,,,,,,,,,
1179,"Okra, frozen, unprepared",0.33 package (10 oz),,0.1,,,,,,,,,,
1180,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",1.0 fl oz,,0.1,,,,,,,,,,
1181,"Bread, pound cake type, pan de torta salvadoran",1.0 serving,,0.099,,,,,,,,,,
1182,"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, without salt",1.0 cups,,0.099,,,,,,,,,,
1183,"Bread, stuffing, cornbread, dry mix",1.0 oz,,0.099,,,,,,,,,,
1184,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",1.0 fl oz,,0.099,,,,,,,,,,
1185,"Cherries, sour, red, canned, light syrup pack, solids and liquids",1.0 cups,,0.098,,,,,,,,,,
1186,"Bread, oat bran",1.0 oz,,0.098,,,,,,,,,,
1187,"Crackers, standard snack-type, sandwich, with cheese filling",0.5 oz,,0.097,,,,,,,,,,
1188,"Orange juice, chilled, includes from concentrate, with added calcium and vitamin D",1.0 cups,,0.097,,,,,,,,,,
1189,"Orange juice, chilled, includes from concentrate, with added calcium",1.0 cups,,0.097,,,,,,,,,,
1190,"Pastrami, beef, 98% fat-free",1.0 serving 6 slices,,0.097,,,,,,,,,,
1191,"Sausage, turkey, hot, smoked",2.0 oz,,0.097,,,,,,,,,,
1192,"Beerwurst, beer salami, pork and beef",2.0 oz,,0.097,,,,,,,,,,
1193,"Beerwurst, pork and beef",1.0 serving 2 oz,,0.097,,,,,,,,,,
1194,"Squash, winter, hubbard, baked, with salt","1.0 cups, cubes",,0.096,,,,,,,,,,
1195,"Beans, baked, canned, with pork",1.0 cups,,0.096,,,,,,,,,,
1196,"Bread, white, commercially prepared, toasted",1.0 oz,,0.096,,,,,,,,,,
1197,"Guinea hen, meat only, raw",3.0 oz,,0.095,,,,,,,,,,
1198,"Mollusks, oyster, eastern, wild, cooked, dry heat",3.0 oz,,0.095,,,,,,,,,,
1199,"Bread, rye",1.0 oz,,0.095,,,,,,,,,,
1200,"Pancakes, plain, frozen, ready-to-heat, microwave (includes buttermilk)",1.0 oz,,0.095,,,,,,,,,,
1201,"Figs, canned, water pack, solids and liquids",1.0 cups,,0.094,,,,,,,,,,
1202,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cups milk",1.0 cups,,0.094,,,,,,,,,,
1203,"Soup, pea, split with ham, canned, chunky, ready-to-serve",1.0 cups,,0.094,,,,,,,,,,
1204,"Squash, winter, butternut, frozen, cooked, boiled, without salt","1.0 cups, mashed",,0.094,,,,,,,,,,
1205,"Candies, HERSHEY, KIT KAT BIG KAT Bar",1.0 bar 1.94 oz,,0.094,,,,,,,,,,
1206,"Beets, canned, regular pack, solids and liquids",1.0 cups,,0.093,,,,,,,,,,
1207,"Corn, sweet, yellow, frozen, kernels cut off cob, unprepared (Includes foods for USDA's Food Distribution Program)",1.0 cups,,0.092,,,,,,,,,,
1208,"Salami, Italian, pork",1.0 oz,,0.092,,,,,,,,,,
1209,"Croissants, cheese",1.0 oz,,0.092,,,,,,,,,,
1210,"Squash, summer, zucchini, italian style, canned",1.0 cups,,0.091,,,,,,,,,,
1211,"Lamb, Australian, imported, fresh, leg, sirloin half, boneless, separable lean only, trimmed to 1/8"" fat, raw",1.0 oz,,0.091,,,,,,,,,,
1212,"Lamb, Australian, imported, fresh, leg, shank half, separable lean only, trimmed to 1/8"" fat, raw",1.0 oz,,0.091,,,,,,,,,,
1213,"Lamb, Australian, imported, fresh, leg, whole (shank and sirloin), separable lean only, trimmed to 1/8"" fat, raw",1.0 oz,,0.091,,,,,,,,,,
1214,"Lamb, Australian, imported, fresh, leg, center slice, bone-in, separable lean only, trimmed to 1/8"" fat, raw",1.0 oz,,0.091,,,,,,,,,,
1215,"Rice, white, long-grain, regular, raw, unenriched",1.0 cups,,0.091,,,,,,,,,,
1216,"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt",1.0 cups slices,,0.09,,,,,,,,,,
1217,"Grapes, muscadine, raw",1.0 grape,,0.09,,,,,,,,,,
1218,"Carissa, (natal-plum), raw",1.0 cups slices,,0.09,,,,,,,,,,
1219,"Tomatoes, red, ripe, canned, stewed",1.0 cups,,0.089,,,,,,,,,,
1220,"Bread, cornbread, dry mix, prepared with 2% milk, 80% margarine, and eggs",1.0 muffin,,0.089,,,,,,,,,,
1221,"Cookies, shortbread, commercially prepared, plain",1.0 oz,,0.089,,,,,,,,,,
1222,"Lamb, Australian, imported, fresh, loin, separable lean only, trimmed to 1/8"" fat, raw",1.0 oz,,0.089,,,,,,,,,,
1223,"Muffins, English, mixed-grain (includes granola)",1.0 oz,,0.089,,,,,,,,,,
1224,"Okra, frozen, cooked, boiled, drained, without salt",0.5 cups slices,,0.088,,,,,,,,,,
1225,"Snacks, corn-based, extruded, onion-flavor",1.0 oz,,0.088,,,,,,,,,,
1226,"Lamb, New Zealand, imported, frozen, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/8"" fat, raw",1.0 oz,,0.088,,,,,,,,,,
1227,"Bagels, oat bran","1.0 mini bagel (2-1/2"" dia)",,0.088,,,,,,,,,,
1228,"Pie, Dutch Apple, Commercially Prepared","0.12 pie 1 pie (1/8 of 9"" pie)",,0.088,,,,,,,,,,
1229,"Cookies, chocolate sandwich, with creme filling, regular",3.0 cookie,,0.086,,,,,,,,,,
1230,"Oranges, raw, with peel",1.0 cups,,0.085,,,,,,,,,,
1231,"Lamb, Australian, imported, fresh, leg, center slice, bone-in, separable lean and fat, trimmed to 1/8"" fat, raw",1.0 oz,,0.084,,,,,,,,,,
1232,"Puddings, tapioca, ready-to-eat, fat free",1.0 container refrigerated 4 oz,,0.084,,,,,,,,,,
1233,"Gravy, beef, canned, ready-to-serve",1.0 cups,,0.084,,,,,,,,,,
1234,"Puddings, chocolate, ready-to-eat, fat free",1.0 serving 4 oz,,0.084,,,,,,,,,,
1235,"Beet greens, raw",1.0 cups,,0.084,,,,,,,,,,
1236,"Vegetable juice cocktail, canned",1.0 cups,,0.083,,,,,,,,,,
1237,"Bread, cornbread, prepared from recipe, made with low fat (2%) milk",1.0 oz,,0.083,,,,,,,,,,
1238,"Teff, cooked",1.0 cups,,0.083,,,,,,,,,,
1239,"Lamb, Australian, imported, fresh, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, raw",1.0 oz,,0.083,,,,,,,,,,
1240,"Ice creams, vanilla, light, no sugar added",1.0 serving 1/2 cups,,0.083,,,,,,,,,,
1241,"Cookies, chocolate sandwich, with creme filling, special dietary",1.0 oz,,0.083,,,,,,,,,,
1242,"Biscuits, plain or buttermilk, frozen, baked",1.0 oz,,0.083,,,,,,,,,,
1243,"Snacks, pretzels, hard, whole-wheat including both salted and unsalted",1.0 oz,,0.082,,,,,,,,,,
1244,"Bread, reduced-calorie, white",1.0 oz,,0.082,,,,,,,,,,
1245,"Macaroni, vegetable, enriched, cooked",1.0 cups spiral shaped,,0.082,,,,,,,,,,
1246,"Chicken, broilers or fryers, light meat, meat only, raw",1.0 unit (yield from 1 lb ready-to-cook chicken),,0.081,,,,,,,,,,
1247,Bacon and beef sticks,1.0 oz,,0.08,,,,,,,,,,
1248,"Bread, reduced-calorie, oatmeal",1.0 oz,,0.079,,,,,,,,,,
1249,"Brussels sprouts, raw",1.0 cups,,0.079,,,,,,,,,,
1250,"Garlic bread, frozen",1.0 slice presliced,,0.079,,,,,,,,,,
1251,"Fish, cisco, raw",1.0 fillet,,0.079,,,,,,,,,,
1252,"Water convolvulus, cooked, boiled, drained, with salt","1.0 cups, chopped",,0.078,,,,,,,,,,
1253,"Peas, edible-podded, raw","1.0 cups, chopped",,0.078,,,,,,,,,,
1254,"Snacks, tortilla chips, nacho-flavor, reduced fat",1.0 oz,,0.078,,,,,,,,,,
1255,"Cake, shortcake, biscuit-type, prepared from recipe",1.0 oz,,0.077,,,,,,,,,,
1256,"Hyacinth-beans, immature seeds, cooked, boiled, drained, without salt",1.0 cups,,0.077,,,,,,,,,,
1257,"Veal, shank (fore and hind), separable lean only, raw",1.0 oz,,0.077,,,,,,,,,,
1258,"Seeds, sesame flour, low-fat",1.0 oz,,0.076,,,,,,,,,,
1259,"Bread, irish soda, prepared from recipe",1.0 oz,,0.076,,,,,,,,,,
1260,"Cake, sponge, commercially prepared",1.0 oz,,0.076,,,,,,,,,,
1261,"Soup, tomato, canned, condensed, reduced sodium",1.0 serving 1/2 cups,,0.076,,,,,,,,,,
1262,"Veal, shank (fore and hind), separable lean and fat, raw",1.0 oz,,0.076,,,,,,,,,,
1263,"Fish, trout, rainbow, farmed, cooked, dry heat",1.0 fillet,,0.076,,,,,,,,,,
1264,"Cookies, chocolate wafers",1.0 oz,,0.075,,,,,,,,,,
1265,"Kale, frozen, unprepared",1.0 cups,,0.075,,,,,,,,,,
1266,"Cookies, molasses",1.0 oz,,0.075,,,,,,,,,,
1267,"Turnip greens, frozen, unprepared","0.5 cups, chopped or diced",,0.075,,,,,,,,,,
1268,"Danish pastry, cinnamon, enriched",1.0 oz,,0.075,,,,,,,,,,
1269,"Cookies, peanut butter sandwich, regular",1.0 oz,,0.075,,,,,,,,,,
1270,"Sweet potato, canned, syrup pack, drained solids",1.0 cups,,0.074,,,,,,,,,,
1271,"Fish, yellowtail, mixed species, cooked, dry heat",0.5 fillet,,0.074,,,,,,,,,,
1272,"Crackers, cream, Gamesa Sabrosas",11.0 crackers (1 NLEA serving),,0.074,,,,,,,,,,
1273,"Boysenberries, canned, heavy syrup",1.0 cups,,0.074,,,,,,,,,,
1274,"Carrots, raw",1.0 cups chopped,,0.074,,,,,,,,,,
1275,"Drumstick pods, raw",1.0 cups slices,,0.074,,,,,,,,,,
1276,"Sorghum flour, whole-grain",1.0 cups,,0.074,,,,,,,,,,
1277,"Beverages, Protein powder soy based",1.0 scoop,,0.074,,,,,,,,,,
1278,"Danish pastry, cheese",1.0 oz,,0.074,,,,,,,,,,
1279,"Infant formula, ABBOTT NUTRITION, SIMILAC, For Spit Up, powder, with ARA and DHA",1.0 scoop,,0.073,,,,,,,,,,
1280,"Bread, wheat",1.0 slice,,0.073,,,,,,,,,,
1281,"Fish, tilapia, raw",1.0 fillet,,0.073,,,,,,,,,,
1282,"Crackers, standard snack-type, regular",5.0 crackers,,0.073,,,,,,,,,,
1283,"Kale, raw",1.0 cups,,0.073,,,,,,,,,,
1284,"Burdock root, cooked, boiled, drained, without salt","1.0 cups (1"" pieces)",,0.072,,,,,,,,,,
1285,"Fish, mahimahi, cooked, dry heat",3.0 oz,,0.072,,,,,,,,,,
1286,"Oranges, raw, California, valencias","1.0 cups sections, without membranes",,0.072,,,,,,,,,,
1287,"Cereals, QUAKER, QUAKER MultiGrain Oatmeal, dry",0.5 cups (1 NLEA serving),,0.072,,,,,,,,,,
1288,"Sauce, cheese, ready-to-serve",0.25 cups,,0.072,,,,,,,,,,
1289,"Bread, white wheat",1.0 slice,,0.071,,,,,,,,,,
1290,"Grapefruit, raw, pink and red, all areas","1.0 cups sections, with juice",,0.071,,,,,,,,,,
1291,"Pancakes, buckwheat, dry mix, incomplete",1.0 oz,,0.071,,,,,,,,,,
1292,"Barbecue loaf, pork, beef",1.0 oz,,0.07,,,,,,,,,,
1293,"Tangerines, (mandarin oranges), raw","1.0 cups, sections",,0.07,,,,,,,,,,
1294,"Infant formula, MEAD JOHNSON, ENFAMIL, Premature, with iron, 24 calories, ready-to-feed",1.0 fl oz,,0.07,,,,,,,,,,
1295,"Blackberries, frozen, unsweetened","1.0 cups, unthawed",,0.069,,,,,,,,,,
1296,"POPEYES, Spicy Chicken Strips, analyzed 2006",1.0 strip,,0.069,,,,,,,,,,
1297,"Cookies, vanilla sandwich with creme filling",1.0 oz,,0.069,,,,,,,,,,
1298,"Chicken, broilers or fryers, back, meat and skin, raw",1.0 unit (yield from 1 lb ready-to-cook chicken),,0.068,,,,,,,,,,
1299,"Croissants, butter",1.0 oz,,0.068,,,,,,,,,,
1300,"Lamb, Australian, imported, fresh, shoulder, blade, separable lean only, trimmed to 1/8"" fat, raw",1.0 oz,,0.068,,,,,,,,,,
1301,"Bread, cracked-wheat",1.0 oz,,0.068,,,,,,,,,,
1302,"Fish, wolffish, Atlantic, raw",3.0 oz,,0.068,,,,,,,,,,
1303,"Nabisco, Nabisco Grahams Crackers",1.0 serving,,0.067,,,,,,,,,,
1304,"Lamb, Australian, imported, fresh, foreshank, separable lean only, trimmed to 1/8"" fat, raw",1.0 oz,,0.067,,,,,,,,,,
1305,"Fish, cod, Atlantic, canned, solids and liquid",3.0 oz,,0.067,,,,,,,,,,
1306,"Fish, tuna, white, canned in oil, drained solids",3.0 oz,,0.067,,,,,,,,,,
1307,"Cookies, sugar, commercially prepared, regular (includes vanilla)",1.0 oz,,0.067,,,,,,,,,,
1308,"Bread, oatmeal, toasted",1.0 oz,,0.067,,,,,,,,,,
1309,"Soup, pea, green, canned, condensed",0.5 cups,,0.067,,,,,,,,,,
1310,"Cheese, pasteurized process, American, fortified with vitamin D",1.0 oz,,0.066,,,,,,,,,,
1311,"Squash, winter, hubbard, cooked, boiled, mashed, with salt","1.0 cups, mashed",,0.066,,,,,,,,,,
1312,"Squash, winter, hubbard, cooked, boiled, mashed, without salt","1.0 cups, mashed",,0.066,,,,,,,,,,
1313,"Fish, herring, Atlantic, raw","1.0 oz, boneless",,0.066,,,,,,,,,,
1314,"Breadfruit, raw",1.0 cups,,0.066,,,,,,,,,,
1315,"Potatoes, mashed, dehydrated, flakes without milk, dry form",1.0 cups,,0.066,,,,,,,,,,
1316,"POPEYES, Mild Chicken Strips, analyzed 2006",1.0 strip,,0.066,,,,,,,,,,
1317,"Fish, pike, northern, cooked, dry heat",3.0 oz,,0.065,,,,,,,,,,
1318,"Cauliflower, green, raw",1.0 cups,,0.065,,,,,,,,,,
1319,"Cookies, oatmeal, commercially prepared, regular",1.0 oz,,0.065,,,,,,,,,,
1320,"Apricots, dried, sulfured, stewed, without added sugar","1.0 cups, halves",,0.065,,,,,,,,,,
1321,"Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame), toasted","1.0 mini bagel (2-1/2"" dia)",,0.065,,,,,,,,,,
1322,"Candies, HERSHEY'S, ALMOND JOY BITES",18.0 pieces,,0.064,,,,,,,,,,
1323,"Milk shakes, thick chocolate",1.0 fl oz,,0.063,,,,,,,,,,
1324,"Cookies, chocolate chip, refrigerated dough",1.0 serving,,0.063,,,,,,,,,,
1325,"Cowpeas, leafy tips, raw","1.0 cups, chopped",,0.063,,,,,,,,,,
1326,"Frankfurter, meat",1.0 serving (1 hot dog),,0.063,,,,,,,,,,
1327,Chocolate-flavored hazelnut spread,1.0 serving 2 TBSP,,0.063,,,,,,,,,,
1328,"Cookies, chocolate chip, commercially prepared, regular, lower fat",1.0 serving 3 cookies,,0.063,,,,,,,,,,
1329,"Peaches, canned, light syrup pack, solids and liquids","1.0 cups, halves or slices",,0.063,,,,,,,,,,
1330,"Mangos, raw",1.0 cups pieces,,0.063,,,,,,,,,,
1331,"Cookies, shortbread, commercially prepared, pecan",1.0 oz,,0.062,,,,,,,,,,
1332,"Lamb, Australian, imported, fresh, foreshank, separable lean and fat, trimmed to 1/8"" fat, raw",1.0 oz,,0.062,,,,,,,,,,
1333,"Cookies, fig bars",1.0 oz,,0.062,,,,,,,,,,
1334,"Potatoes, baked, skin, without salt",1.0 skin,,0.061,,,,,,,,,,
1335,"Cookies, oatmeal, with raisins",1.0 oz,,0.061,,,,,,,,,,
1336,"Fish, scups, cooked, dry heat",1.0 fillet,,0.061,,,,,,,,,,
1337,"Tortillas, ready-to-bake or -fry, flour, shelf stable",1.0 tortilla,,0.061,,,,,,,,,,
1338,"Turnip greens, frozen, cooked, boiled, drained, with salt",0.5 cups,,0.061,,,,,,,,,,
1339,"Crackers, wheat, sandwich, with cheese filling",0.5 oz,,0.061,,,,,,,,,,
1340,"Lamb, Australian, imported, fresh, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, raw",1.0 oz,,0.06,,,,,,,,,,
1341,"Lamb, Australian, imported, fresh, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/8"" fat, raw",1.0 oz,,0.06,,,,,,,,,,
1342,"Fish, mackerel, jack, canned, drained solids","1.0 oz, boneless",,0.06,,,,,,,,,,
1343,"Cookies, oatmeal, commercially prepared, special dietary",1.0 oz,,0.06,,,,,,,,,,
1344,"Archway Home Style Cookies, Molasses",1.0 serving,,0.06,,,,,,,,,,
1345,"Croutons, seasoned",0.5 oz,,0.06,,,,,,,,,,
1346,"Cereals ready-to-eat, QUAKER, QUAKER Puffed Wheat",1.0 cups (1 NLEA serving),,0.06,,,,,,,,,,
1347,"Lamb, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, choice, raw",1.0 oz,,0.06,,,,,,,,,,
1348,"Biscuits, mixed grain, refrigerated dough",1.0 oz,,0.06,,,,,,,,,,
1349,"Chicken, broilers or fryers, drumstick, meat only, cooked, fried",1.0 unit (yield from 1 lb ready-to-cook chicken),,0.059,,,,,,,,,,
1350,"Cookies, peanut butter, commercially prepared, regular",1.0 oz,,0.059,,,,,,,,,,
1351,"Soup, beef noodle, canned, condensed",0.5 cups,,0.059,,,,,,,,,,
1352,"Pie, banana cream, prepared from recipe",1.0 oz,,0.059,,,,,,,,,,
1353,"Cream, fluid, half and half",1.0 fl oz,,0.059,,,,,,,,,,
1354,"Cereals, CREAM OF RICE, dry",0.25 cups (1 NLEA serving),,0.059,,,,,,,,,,
1355,"Cranberry sauce, canned, sweetened",1.0 cups,,0.058,,,,,,,,,,
1356,"Noodles, japanese, somen, cooked",1.0 cups,,0.058,,,,,,,,,,
1357,"Egg, whole, cooked, omelet",1.0 tbsp,,0.058,,,,,,,,,,
1358,"Grapefruit juice, white, canned, sweetened",1.0 cups,,0.058,,,,,,,,,,
1359,"Cereals, QUAKER, Instant Oatmeal Organic, Regular",1.0 packet,,0.057,,,,,,,,,,
1360,"Cream, fluid, light (coffee cream or table cream)",1.0 fl oz,,0.057,,,,,,,,,,
1361,"Apricots, canned, heavy syrup pack, with skin, solids and liquids","1.0 cups, halves",,0.057,,,,,,,,,,
1362,"Spinach, raw",1.0 cups,,0.057,,,,,,,,,,
1363,"Crackers, rusk toast",0.5 oz,,0.057,,,,,,,,,,
1364,"Sausage, pork and turkey, pre-cooked",1.0 serving,,0.056,,,,,,,,,,
1365,"Candies, NESTLE, BUTTERFINGER Crisp",1.0 piece,,0.056,,,,,,,,,,
1366,"Grapes, canned, thompson seedless, water pack, solids and liquids",1.0 cups,,0.056,,,,,,,,,,
1367,"Currants, red and white, raw",1.0 cups,,0.056,,,,,,,,,,
1368,"Groundcherries, (cape-gooseberries or poha), raw",1.0 cups,,0.056,,,,,,,,,,
1369,"Currants, european black, raw",1.0 cups,,0.056,,,,,,,,,,
1370,"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",1.0 cups,,0.056,,,,,,,,,,
1371,"Nuts, mixed nuts, oil roasted, with peanuts, lightly salted",1.0 oz,,0.056,,,,,,,,,,
1372,"Ham, honey, smoked, cooked",1.0 oz (1 serving),,0.056,,,,,,,,,,
1373,"Mollusks, oyster, eastern, farmed, raw",3.0 oz,,0.055,,,,,,,,,,
1374,"Peaches, canned, extra heavy syrup pack, solids and liquids","1.0 cups, halves or slices",,0.055,,,,,,,,,,
1375,"Turkey, white, rotisserie, deli cut",1.0 oz (1 serving),,0.055,,,,,,,,,,
1376,"Cake, cheesecake, commercially prepared",1.0 oz,,0.055,,,,,,,,,,
1377,"Pasta, dry, unenriched",1.0 cups spaghetti,,0.055,,,,,,,,,,
1378,"Beets, raw",1.0 cups,,0.054,,,,,,,,,,
1379,"Bologna, pork and turkey, lite",1.0 serving 2 oz,,0.054,,,,,,,,,,
1380,"Applesauce, canned, sweetened, without salt",1.0 cups,,0.054,,,,,,,,,,
1381,"Cake, cherry fudge with chocolate frosting",1.0 oz,,0.054,,,,,,,,,,
1382,"Cookies, brownies, prepared from recipe",1.0 oz,,0.054,,,,,,,,,,
1383,"Fish, swordfish, cooked, dry heat",3.0 oz,,0.054,,,,,,,,,,
1384,"Syrups, table blends, pancake, with 2% maple, with added potassium",1.0 cups,,0.054,,,,,,,,,,
1385,"Bread, whole-wheat, commercially prepared",1.0 slice,,0.053,,,,,,,,,,
1386,"Cardoon, raw","1.0 cups, shredded",,0.053,,,,,,,,,,
1387,"Archway Home Style Cookies, Iced Molasses",1.0 serving,,0.053,,,,,,,,,,
1388,"Cherries, sour, red, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)","1.0 cups, unthawed",,0.053,,,,,,,,,,
1389,"Apricots, canned, heavy syrup, drained","1.0 cups, halves",,0.053,,,,,,,,,,
1390,"Grapes, american type (slip skin), raw",1.0 cups,,0.052,,,,,,,,,,
1391,"Fish, cod, Pacific, raw (may have been previously frozen)",1.0 fillet,,0.052,,,,,,,,,,
1392,"Bologna, meat and poultry",1.0 slice,,0.052,,,,,,,,,,
1393,"Broccoli raab, raw",1.0 cups chopped,,0.052,,,,,,,,,,
